ID,material,region,recyclableContent,collectionRate,carbonFootprint,recycledContent,packageType,volume,weight,supplier,certifications,targetYear,status,createdAt,modifiedAt
1,PET,Europe,95.5,76.7,0.085,48.5,Bottle,1500000,127500,Alpla Group,FSC Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
2,PET,Asia Pacific,92.3,53.0,0.092,26.9,Bottle,2200000,187000,Amcor,ISO 14001,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
3,Aluminum,Europe,100.0,85.2,0.156,75.8,Can,3500000,245000,Ball Corporation,ASI Certified,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
4,Aluminum,Asia Pacific,100.0,68.4,0.162,52.3,Can,2800000,196000,Crown Holdings,ISO 50001,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
5,Glass,Europe,100.0,82.1,0.234,45.2,Bottle,850000,425000,O-I Glass,Cradle to Cradle,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
6,Glass,Asia Pacific,100.0,71.5,0.241,38.7,Bottle,650000,325000,Vetropack,ISO 14001,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
7,HDPE,Europe,89.2,72.3,0.067,35.4,Cap,5000000,75000,Berry Global,FSC Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
8,HDPE,Asia Pacific,86.7,58.9,0.071,28.1,Cap,4200000,63000,Silgan Closures,ISO 14001,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
9,Cardboard,Europe,95.8,88.4,0.045,82.3,Secondary Packaging,1200000,96000,Smurfit Kappa,FSC Certified,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
10,Cardboard,Asia Pacific,93.2,75.6,0.048,67.9,Secondary Packaging,980000,78400,International Paper,PEFC Certified,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
11,PET,Europe,96.2,78.1,0.082,52.1,Bottle,1800000,153000,Plastipak,ISO 14001,2025,Planned,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
12,PET,Asia Pacific,93.8,55.2,0.089,29.3,Bottle,2500000,212500,Yoshino,FSC Certified,2025,Planned,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
13,Aluminum,Europe,100.0,86.5,0.152,78.2,Can,3800000,266000,Rexam,ASI Certified,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
14,Aluminum,Asia Pacific,100.0,70.1,0.159,55.7,Can,3100000,217000,CCL Container,ISO 50001,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
15,BioPET,Europe,85.4,76.7,0.065,15.2,Bottle,450000,38250,Avantium,Cradle to Cradle,2026,Planned,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
16,BioPET,Asia Pacific,82.1,53.0,0.068,12.8,Bottle,320000,27200,NatureWorks,ISO 14001,2026,Planned,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
17,rPET,Europe,100.0,76.7,0.078,95.5,Bottle,1200000,102000,Indorama Ventures,GRS Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
18,rPET,Asia Pacific,100.0,53.0,0.085,89.2,Bottle,890000,75650,Far Eastern New Century,GRS Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
19,Plant Fiber,Europe,100.0,92.1,0.032,100.0,Cup,2500000,125000,Huhtamaki,FSC Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
20,Plant Fiber,Asia Pacific,100.0,78.3,0.035,100.0,Cup,1800000,90000,Dart Container,PEFC Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
21,Steel,Europe,100.0,89.7,0.198,68.4,Can,450000,67500,Sonoco,ISO 14001,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
22,Steel,Asia Pacific,100.0,72.8,0.205,54.2,Can,320000,48000,Crown Holdings,ISO 50001,2024,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
23,PP,Europe,78.9,65.4,0.058,42.1,Label,8500000,85000,Multi-Color Corporation,FSC Certified,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
24,PP,Asia Pacific,75.2,48.7,0.062,35.8,Label,7200000,72000,CCL Industries,ISO 14001,2025,Active,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
25,Compostable Plastic,Europe,100.0,45.2,0.089,0.0,Straw,15000000,45000,Novolex,BPI Certified,2026,Planned,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
